Country,Year,Agriculture,Energy,Industry,Residential,Transport,Waste,Other,total
Anguilla,1992,-16,0,0,0,,0,0,-16
Anguilla,1993,-16,0,0,0,,0,0,-16
Anguilla,1994,-16,0,0,0,,0,0,-16
Anguilla,1995,-16,0,0,0,,0,0,-16
Anguilla,1996,-16,0,0,0,,0,0,-16
Anguilla,1997,-16,0,0,0,,0,0,-16
Anguilla,1998,-16,0,0,0,,0,0,-16
Anguilla,1999,-16,0,0,0,,0,0,-16
Anguilla,2000,-16,0,0,0,0,0,0,-16
Anguilla,2001,-10,0,0,0,0,0,0,-10
Anguilla,2002,-10,0,0,0,0,0,0,-10
Anguilla,2003,-10,0,0,0,0,0,0,-10
Anguilla,2004,-10,0,0,0,0,0,0,-10
Anguilla,2005,-10,0,0,0,0,0,0,-10
Anguilla,2006,52,0,0,0,0,0,0,52
Anguilla,2007,52,0,0,0,0,0,0,52
Anguilla,2008,52,0,0,0,0,0,0,52
Anguilla,2009,52,0,0,0,0,0,0,52
Anguilla,2010,52,0,0,0,0,0,0,52
Antigua and Barbuda,1990,-18,93.163,47.2591,129.1461,50.5107,0,0,302.0789
Antigua and Barbuda,1991,-18,99.5057,47.8326,120.7398,52.616,0,0,302.6941
Antigua and Barbuda,1992,-18,104.2684,48.6686,110.5678,54.8275,0,0,300.3323
Antigua and Barbuda,1993,-18,102.1435,49.6965,100.5448,53.2664,0,0,287.6512
Antigua and Barbuda,1994,-18,111.3491,50.8074,106.4846,57.1851,0,0,307.8262
Antigua and Barbuda,1995,-18,114.1985,51.9188,110.0509,59.5792,0,0,317.7474
Antigua and Barbuda,1996,-18,112.3839,53.014,108.0493,59.7834,0,0,315.2306
Antigua and Barbuda,1997,-18,121.2731,54.1024,67.3934,62.0086,0,0,286.7775
Antigua and Barbuda,1998,-18,113.1881,55.1594,39.2204,112.1047,0,0,301.6726
Antigua and Barbuda,1999,-18,118.5529,56.1625,44.4784,124.1368,0,0,325.3306
Antigua and Barbuda,2000,-18,117.2,57.1297,41.9,122.0446,0,0,320.2743
Antigua and Barbuda,2001,-4,115.6,57.9437,43.6,120.1847,0,0,333.3284
Antigua and Barbuda,2002,-4,119.8,58.7567,42.2,122.24,0,0,338.9967
Antigua and Barbuda,2003,-4,119.5,59.4678,50.5,124.02,0,0,349.4878
Antigua and Barbuda,2004,-4,128.6,60.0788,55.4,137.2911,0,0,377.3699
Antigua and Barbuda,2005,-4,129.8,60.7908,56,138.1567,0,0,380.7475
Antigua and Barbuda,2006,93,132,61.5029,58.8,140.2251,0,0,485.528
Antigua and Barbuda,2007,93,135.6,62.2139,60.6,147.1971,0,0,498.611
Antigua and Barbuda,2008,93,139.1,62.9259,62.9,152.217,0,0,510.1429
Antigua and Barbuda,2009,93,142.9,63.637,65.2,157.227,0,0,521.964
Antigua and Barbuda,2010,93,146.7,64.349,67.5,161.248,0,0,532.797
Argentina,1990,65804,52662.1872,3496.0448,22029.8978,28515.7249,0,0,172507.8547
Argentina,1991,65804,55081.4259,3779.498,22138.9275,30036.8099,0,0,176840.6613
Argentina,1992,65804,55050.5037,4036.5956,22248.8575,32197.5079,0,0,179337.4647
Argentina,1993,65804,51478.5082,4289.8952,24739.1355,35812.4631,0,0,182124.002
Argentina,1994,65804,52019.5026,4579.831,25532.1514,38101.6268,0,0,186037.1118
Argentina,1995,65804,50186.8271,4354.4495,25896.8507,40092.7146,0,0,186334.8419
Argentina,1996,65931,56937.0658,4445.1671,28405.3336,42197.3561,0,0,197915.9226
Argentina,1997,65369,57622.8292,5730.3618,25805.4258,43409.1982,0,0,197936.815
Argentina,1998,66735,68084.9516,6030.9777,25926.8588,45923.4446,0,0,212701.2327
Argentina,1999,66062,70831.0864,6121.9034,27567.1054,44534.7108,0,0,215116.806
Argentina,2000,65320,70725,6239.45,27000,44291,0,0,213575.45
Argentina,2001,83712,65146,6613.41,25700,39262,0,0,220433.41
Argentina,2002,86750,60910,6160.37,24700,33202.4,0,0,211722.77
Argentina,2003,85591,66810,6950.23,26900,33792.4,0,0,220043.63
Argentina,2004,91973,80220,7392.2,29300,36372.4,0,0,245257.6
Argentina,2005,87669,79045,8061.26,30700,39114.8,0,0,244590.06
Argentina,2006,105466,85974,8681.12,31600,41321,0,0,273042.12
Argentina,2007,97338,91858,9314.09,32100,41955,0,0,272565.09
Argentina,2008,102414,93272,9457.05,31900,40936,0,0,277979.05
Argentina,2009,103151,90785,8219.01,32100,36511.6,0,0,270766.61
Argentina,2010,94811,88721,8889.97,34300,38861.6,0,0,265583.57
Armenia,1992,128,6268.612,395.5837,2594.6709,1861.7745,0,0,11248.6411
Armenia,1993,128,2825.2576,301.5523,923.7151,1209.2893,0,0,5387.8143
Armenia,1994,128,1461.4459,257.7534,1064.6668,162.3987,0,0,3074.2648
Armenia,1995,128,1899.1055,301.637,1358.594,115.9985,0,0,3803.335
Armenia,1996,128,2054.3113,321.8673,360.2161,60.8992,0,0,2925.2939
Armenia,1997,128,2653.5919,324.2688,439.271,63.7993,0,0,3608.931
Armenia,1998,128,2763.529,325.3896,454.1239,69.5991,0,0,3740.6416
Armenia,1999,128,2488.8328,317.5978,377.9674,72.4992,0,0,3384.8972
Armenia,2000,128,2322,287.5378,527,580,0,0,3844.5378
Armenia,2001,117,2340,320.7018,550,577,0,0,3904.7018
Armenia,2002,117,1715,342.9678,646,551,0,0,3371.9678
Armenia,2003,117,1863,354.7578,820,595,0,0,3749.7578
Armenia,2004,117,1866,411.2678,991,580,0,0,3965.2678
Armenia,2005,117,2309,456.8978,1150,560,0,0,4592.8978
Armenia,2006,125,2344,461.8878,1140,525,0,0,4595.8878
Armenia,2007,125,2800,501.2978,1280,516,0,0,5222.2978
Armenia,2008,125,3280,517.1878,1420,2750,0,0,8092.1878
Armenia,2009,125,2220,516.2778,1320,2500,0,0,6681.2778
Armenia,2010,125,1563,549.3678,1420,2760,0,0,6417.3678
Aruba,1990,-1,342.4354,35.3902,87.8182,150.4596,0,0,615.1034
Aruba,1991,-1,350.1179,36.8841,90.3454,147.4389,0,0,623.7863
Aruba,1992,-1,375.7915,38.8589,97.4061,149.6507,0,0,660.7072
Aruba,1993,-1,379.6486,41.0731,110.0634,153.1874,0,0,682.9725
Aruba,1994,-1,363.0846,43.1792,125.212,167.0943,0,0,697.5701
Aruba,1995,-1,367.0707,44.924,120.4616,168.8399,0,0,700.2962
Aruba,1996,-1,0,46.1717,4.8556,133.6146,0,0,183.6419
Aruba,1997,-1,0,47.0902,7.3027,858.4133,0,0,911.8062
Aruba,1998,-1,0,47.7535,23.7178,94.5149,0,0,164.9862
Aruba,1999,-1,0,48.3542,25.1528,79.1711,0,0,151.6781
Aruba,2000,-1,0,49.056,140,60.6017,0,0,248.6577
Aruba,2001,-1,0,49.7731,144,50.7044,0,0,243.4775
Aruba,2002,-1,0,50.6902,150,55.4024,0,0,255.0926
Aruba,2003,-1,0,51.5092,158,46.4029,0,0,254.9121
Aruba,2004,-1,0,52.3252,156,48.3035,0,0,255.6287
Aruba,2005,-1,0,52.9403,156,53.0054,0,0,260.9457
Aruba,2006,4,0,53.6553,160,67.805,0,0,285.4603
Aruba,2007,4,0,54.3714,200,61.9115,0,0,320.2829
Aruba,2008,4,0,55.0874,220,62.9115,0,0,341.9989
Aruba,2009,4,0,55.8015,241,66.3136,0,0,367.1151
Aruba,2010,4,0,56.5175,263,69.6156,0,0,393.1331
Australia,1990,-2929,187137.3307,10547.4655,13683.7085,62401.904,11.1746,189,271041.5833
Australia,1991,-2929,190304.1842,10228.3063,13775.855,60951.9656,11.4098,189,272531.7209
Australia,1992,-2929,192568.9455,10007.4199,14208.1392,62456.6784,11.6449,189,276512.8279
Australia,1993,-2929,194829.8865,10361.8883,14748.211,63581.8162,11.88,189,280793.682
Australia,1994,-2929,195284.6289,11297.9773,14604.8341,65236.7058,12.1152,189,283696.2613
Australia,1995,-2929,199885.2401,10962.28,15391.4235,67949.189,12.3504,189,291460.483
Australia,1996,-3061,212377.3637,11094.9442,15816.4538,70450.1964,12.5855,189,306879.5436
Australia,1997,-3225,227447.4986,11247.2255,16086.9997,71829.5663,12.8207,189,323588.1108
Australia,1998,-3043,246186.7309,11718.9233,16445.4986,71848.7158,13.0558,189,343358.9244
Australia,1999,-3303,251253.3471,11796.3894,16449.2389,73265.5766,13.291,189,349663.843
Australia,2000,-2959,250850,12308.64,16200,75533,13.5,189,352135.14
Australia,2001,45048,252510,12564.64,16500,74899,13.8,189,401724.44
Australia,2002,43986,260799,12598.64,18000,76618,14,189,412204.64
Australia,2003,47091,260976,14863.04,19100,78684,14.2,189,420917.24
Australia,2004,43624,279351,15007.04,19800,78504,14.5,189,436489.54
Australia,2005,43689,296047,14987.04,21100,79987,14.7,189,456013.74
Australia,2006,1546,301470,15926.24,20800,77760,14.9,189,417706.14
Australia,2007,557,302830,16029.74,20300,79070,15.2,189,418990.94
Australia,2008,-427,314982,16028.14,20700,81790,15.4,189,433277.54
Australia,2009,279,314686,14891.54,20800,80280,15.6,189,431141.14
Australia,2010,-456,311062,17694.94,21100,80280,15.9,189,429885.84
Australia & New Zealand,1990,-24564,196702.8245,12335.0596,16081.0409,71114.5407,11.1746,189,271869.6403
Australia & New Zealand,1991,-24564,199673.8709,12207.0506,16405.6402,69664.7752,11.4098,189,273587.7467
Australia & New Zealand,1992,-24564,203507.1677,12098.7571,16843.9639,71594.9101,11.6449,189,279681.4437
Australia & New Zealand,1993,-24564,204867.6152,12623.0233,17293.8224,73044.7467,11.88,189,283466.0876
Australia & New Zealand,1994,-24564,204731.3094,13326.8783,17375.5488,75401.7807,12.1152,189,286472.6324
Australia & New Zealand,1995,-24564,208762.1651,13739.5209,18175.2173,78797.067,12.3504,189,295111.3207
Australia & New Zealand,1996,-24696,222445.784,14066.1392,18376.0942,81492.5611,12.5855,189,311886.164
Australia & New Zealand,1997,-24860,240316.8762,13877.0795,18605.4732,83187.5654,12.8207,189,331328.815
Australia & New Zealand,1998,-24678,259208.862,14368.0565,18943.6335,83423.0102,13.0558,189,351467.618
Australia & New Zealand,1999,-24939,265293.2836,14483.8255,19050.1462,85173.4035,13.291,189,359263.9498
Australia & New Zealand,2000,-24595,265501.2,16354.91,18970,88029,13.5,189,364462.61
Australia & New Zealand,2001,30378,269181.6,16290.04,19390,87432,13.8,189,422874.44
Australia & New Zealand,2002,29317,276712.6,15885.93,20880,90331,14,189,433329.53
Australia & New Zealand,2003,32422,279559.86,17588.41,21920,92689,14.2,189,444382.47
Australia & New Zealand,2004,28955,297061.3,17783.73,22700,92810,14.5,189,459513.53
Australia & New Zealand,2005,29019,315669.1,17807.4,23710,94364,14.7,189,480773.2
Australia & New Zealand,2006,-14585,321849.5,18656.84,23180,92386,14.9,189,441691.24
