country,avgCo2/cap/country-avg,,Tonns of CO2
"Iran, Islamic Republic of",2.776521875,,
Iraq,2.219237143,,
Ireland,5.264297019,,
Israel,4.962989059,,
Italy,2.619009355,,
Jamaica,2.64546,,
Japan,3.484263605,,
Jordan,2.044524308,,
Kazakhstan,6.286666074,,
Kenya,0.2799884615,,
Kiribati,0.4321683333,,
"Korea, Democratic People's Republic of",3.770133571,,
"Korea, Republic of",4.445027714,,
Kuwait,24.21086087,,
Kyrgyzstan,1.004719448,,
Lao People's Democratic Republic,0.1139788333,,
Latvia,2.344994,,
Lebanon,2.257264458,,
Lesotho,1.0251048,,
Liberia,0.3663016923,,
Libya,6.580605846,,
Liechtenstein,1.4600075,,
Lithuania,2.085785644,,
Luxembourg,26.27190943,,
Macao,2.04538541,,
"Macedonia, the former Yugoslav Republic of",5.099415217,,
Madagascar,0.09494013889,,
Malawi,0.08601509804,,
Malaysia,4.259463778,,
Maldives,1.113398864,,
Mali,0.051985,,
Malta,3.700869077,,
Marshall Islands,1.607085217,,
Martinique,2.974958308,,
Mauritania,0.4646860714,,
Mauritius,1.248501692,,
Mexico,2.152236935,,
"Micronesia, Federated States of",1.192417826,,
"Moldova, Republic of",1.499466012,,
Mongolia,3.340078308,,
Montenegro,3.39503913,,
Montserrat,3.812677358,,
Morocco,0.6437244828,,
Mozambique,0.13310125,,
Myanmar,0.1535286207,,
Namibia,1.100218333,,
Nauru,10.63449765,,
Nepal,0.06242584615,,
Netherlands,5.416747751,,
New Caledonia,11.93587769,,
New Zealand,4.533582482,,
Nicaragua,0.5123113699,,
Niger,0.07204403509,,
Nigeria,0.3234911,,
Niue,2.401420222,,
Norway,3.503266066,,
Oman,7.591735294,,
Pakistan,0.4904205797,,
Palau,12.97609391,,
"Palestine, State of",0.4807936,,
Panama,1.484958358,,
Papua New Guinea,0.4221229231,,
Paraguay,0.4544936923,,
Peru,0.8212039695,,
Philippines,0.4113437143,,
Poland,3.694385721,,
Portugal,1.625947862,,
Puerto Rico,0.15846,,
Qatar,46.9893547,,
R̩union,1.987118154,,
Romania,2.453731835,,
Russian Federation,5.01419227,,
Rwanda,0.06054415094,,
"Saint Helena, Ascension and Tristan da Cunha",1.867443143,,
Saint Kitts and Nevis,3.095823824,,
Saint Lucia,1.125244462,,
Saint Pierre and Miquelon,8.826147692,,
Saint Vincent and the Grenadines,0.8102287692,,
Samoa,0.5342815385,,
Sao Tome and Principe,0.332260625,,
Saudi Arabia,9.051018375,,
Senegal,0.4011080702,,
Serbia,4.855843913,,
Seychelles,3.103477692,,
Sierra Leone,0.1426810769,,
Singapore,9.28913931,,
Sint Maarten (Dutch part),19.63665333,,
Slovakia,5.474873677,,
Slovenia,7.439501304,,
Solomon Islands,0.3253961905,,
Somalia,0.06770276923,,
South Africa,5.011727939,,
South Sudan,0.12746,,
Spain,1.899030973,,
Sri Lanka,0.3488755385,,
Sudan,0.2733936923,,
Suriname,3.733038462,,
Sweden,3.436354746,,
Switzerland,2.978479745,,
Syrian Arab Republic,1.51981869,,
"Taiwan, Province of China",3.194216555,,
Tajikistan,0.5974527607,,
"Tanzania, United Republic of",0.1121096923,,
Thailand,1.245129259,,
Timor-Leste,0.2207853846,,
Togo,0.1837121538,,
Tonga,0.5746296923,,
Trinidad and Tobago,12.46824636,,
Tunisia,0.9720973626,,
Turkey,0.996243,,
Turkmenistan,4.553348834,,
Turks and Caicos Islands,4.3289092,,
Tuvalu,0.8943456,,
Uganda,0.06979630769,,
Ukraine,3.894078773,,
United Arab Emirates,29.91126714,,
United Kingdom of Great Britain and Northern Ireland,8.043992047,,
United States of America,9.584577442,,
Uruguay,1.366303012,,
Uzbekistan,2.639737485,,
Vanuatu,0.5152558491,,
"Venezuela, Bolivarian Republic of",4.559724712,,
Viet Nam,0.3711283333,,
"Virgin Islands, British",3.803970377,,
Wallis and Futuna,1.840922143,,
Yemen,0.6624361538,,
Zambia,0.4840023529,,
Zimbabwe,1.02175398,,
