country,AvgIncome,,,,1800-2018
Somalia,806.0821918,,,,
South Africa,5234.899543,,,,
South Sudan,1283.123288,,,,
Spain,7847.383562,,,,
Sri Lanka,2309.351598,,,,
Sudan,1299.821918,,,,
Suriname,4991.881279,,,,
Sweden,11282.77169,,,,
Switzerland,18094.10046,,,,
Syrian Arab Republic,2174.146119,,,,
"Taiwan, Province of China",6629.237443,,,,
Tajikistan,1591.369863,,,,
"Tanzania, United Republic of",941.0045662,,,,
Thailand,2758.356164,,,,
Timor-Leste,770.8493151,,,,
Togo,1051.739726,,,,
Tonga,1578.534247,,,,
Trinidad and Tobago,6276.968037,,,,
Tunisia,2439.488584,,,,
Turkey,4656.114155,,,,
Turkmenistan,3810.780822,,,,
Turks and Caicos Islands,3588.365297,,,,
Tuvalu,1368.6621,,,,
Uganda,751.8630137,,,,
Ukraine,3205.917808,,,,
United Arab Emirates,23856.13699,,,,
United Kingdom of Great Britain and Northern Ireland,12007.36073,,,,
United States of America,14572.93607,,,,
Uzbekistan,1482.369863,,,,
Vanuatu,1216.474886,,,,
"Venezuela, Bolivarian Republic of",5971.757991,,,,
Viet Nam,1333.968037,,,,
Yemen,1637.150685,,,,
Zambia,1592.56621,,,,
Zimbabwe,1348.415525,,,,
Zambia,1592.56621,,,,
Zimbabwe,1348.415525,,,,
